validation_rmse, embedding_type, embedding_dimensionality, hidden_layer_dimensions, n_train_samples, learning_rate
0.9949254770367223, nmf, 50, (25, 12, 6), 1059257, 0.0001
0.9944701112882147, svd, 60, (30, 15, 7), 1059257, 0.0001
1.068673080250974, lle, 60, (30, 15, 7), 1059257, 0.0001
1.0729206695520839, lle, 70, (35, 17), 1059257, 0.0001
0.9961315791180612, nmf, 60, (30, 15, 7), 1059257, 0.0001
0.9947028622854855, pca, 70, (35, 17, 8), 1059257, 0.0001
0.9934832133383638, svd, 60, (30, 15), 1059257, 0.0001
0.9938460341431178, svd, 70, (35,), 1059257, 0.0001
1.1165659054445871, ids, 70, (35, 17), 1059257, 0.0001
1.1165191496781637, iterated_svd, 10, (5, 2), 1059257, 0.0001
1.4781498722941537, ids, 80, (40,), 1059257, 0.0001
1.0721948096581726, lle, 70, (35,), 1059257, 0.0001
0.9937559843803734, nmf, 60, (30,), 1059257, 0.0001
1.1165341710501822, iterated_svd, 10, (5, 2, 1), 1059257, 0.0001
0.9985779406685197, iterated_svd, 20, (10,), 1059257, 0.0001
0.999985295109581, iterated_svd, 10, (5,), 1059257, 0.0001
0.995813751295851, svd, 70, (35, 17), 1059257, 0.0001
0.9938976750197159, nmf, 60, (30, 15), 1059257, 0.0001
1.1166890790156425, ids, 80, (40, 20, 10), 1059257, 0.0001
1.9291429001944516, ids, 90, (45,), 1059257, 0.0001
1.070561096017547, lle, 80, (40,), 1059257, 0.0001
1.0192960994772517, iterated_svd, 40, (20,), 1059257, 0.0001
1.0019710630888268, iterated_svd, 20, (10, 5), 1059257, 0.0001
0.9991876524916881, iterated_svd, 20, (10, 5, 2), 1059257, 0.0001
1.0062578486642666, iterated_svd, 30, (15,), 1059257, 0.0001
1.0045022929096572, iterated_svd, 30, (15, 7, 3), 1059257, 0.0001
0.9953510558294134, pca, 70, (35, 17), 1059257, 0.0001
1.0161527196079936, iterated_svd, 40, (20, 10, 5), 1059257, 0.0001
1.0043100579898994, iterated_svd, 30, (15, 7), 1059257, 0.0001
1.067629031914015, lle, 70, (35, 17, 8), 1059257, 0.0001
1.0192734613969747, iterated_svd, 40, (20, 10), 1059257, 0.0001
1.1165724424973948, ids, 90, (45, 22, 11), 1059257, 0.0001
0.9933463336371625, svd, 70, (35, 17, 8), 1059257, 0.0001
0.9936515965116829, svd, 80, (40,), 1059257, 0.0001
1.0292920004492203, iterated_svd, 50, (25,), 1059257, 0.0001
1.1166612017142457, ids, 80, (40, 20), 1059257, 0.0001
1.0338405349260424, iterated_svd, 50, (25, 12), 1059257, 0.0001
1.042041496442945, iterated_svd, 50, (25, 12, 6), 1059257, 0.0001
0.993783271550006, svd, 80, (40, 20), 1059257, 0.0001
1.1166492871436815, ids, 90, (45, 22), 1059257, 0.0001
1.0459526749890349, iterated_svd, 60, (30,), 1059257, 0.0001
1.0716259164183861, lle, 80, (40, 20), 1059257, 0.0001
1.0677119968761437, lle, 80, (40, 20, 10), 1059257, 0.0001
1.0510047216056186, iterated_svd, 60, (30, 15), 1059257, 0.0001
1.0703666440639932, lle, 90, (45,), 1059257, 0.0001
0.9965263986927884, nmf, 70, (35, 17), 1059257, 0.0001
0.993844100721078, nmf, 70, (35, 17, 8), 1059257, 0.0001
0.9935782554637486, pca, 80, (40, 20, 10), 1059257, 0.0001
0.9939150146817295, svd, 90, (45,), 1059257, 0.0001
1.0691202041180208, lle, 90, (45, 22), 1059257, 0.0001
0.9937907771652266, svd, 80, (40, 20, 10), 1059257, 0.0001
1.1166685780139747, ids, 100, (50, 25, 12), 1059257, 0.0001
0.9942457367416645, nmf, 80, (40, 20), 1059257, 0.0001
1.053897628541274, iterated_svd, 60, (30, 15, 7), 1059257, 0.0001
0.9955588977947566, nmf, 70, (35,), 1059257, 0.0001
0.9938273339780144, pca, 90, (45, 22, 11), 1059257, 0.0001
0.9936519443607187, pca, 70, (35,), 1059257, 0.0001
0.9945623384766469, pca, 80, (40, 20), 1059257, 0.0001
1.0669115006072223, iterated_svd, 70, (35,), 1059257, 0.0001
1.0704981024099465, lle, 100, (50,), 1059257, 0.0001
1.071979244453331, iterated_svd, 70, (35, 17, 8), 1059257, 0.0001
1.0782526799843664, iterated_svd, 70, (35, 17), 1059257, 0.0001
1.1165826243411945, ids, 100, (50,), 1059257, 0.0001
1.1167235125532344, ids, 100, (50, 25), 1059257, 0.0001
0.9977274793082852, nmf, 80, (40,), 1059257, 0.0001
1.0765108094446125, iterated_svd, 80, (40,), 1059257, 0.0001
1.0703487627802648, lle, 100, (50, 25), 1059257, 0.0001
1.0692356669431102, lle, 110, (55,), 1059257, 0.0001
0.993696085773239, svd, 100, (50,), 1059257, 0.0001
1.11652018323401, ids, 110, (55, 27), 1059257, 0.0001
1.1167340262284524, ids, 110, (55, 27, 13), 1059257, 0.0001
1.2279143551162346, ids, 110, (55,), 1059257, 0.0001
0.9932454645039103, pca, 100, (50, 25, 12), 1059257, 0.0001
0.9945855820217648, svd, 90, (45, 22, 11), 1059257, 0.0001
0.9958361175892774, pca, 90, (45,), 1059257, 0.0001
0.9941084142280454, nmf, 80, (40, 20, 10), 1059257, 0.0001
1.0695409175478934, lle, 100, (50, 25, 12), 1059257, 0.0001
1.087645722118271, iterated_svd, 90, (45,), 1059257, 0.0001
1.0688226325882297, lle, 110, (55, 27, 13), 1059257, 0.0001
0.9936237790603449, pca, 80, (40,), 1059257, 0.0001
0.9938252974069652, nmf, 90, (45, 22, 11), 1059257, 0.0001
1.0835127557500253, iterated_svd, 80, (40, 20), 1059257, 0.0001
0.9960093411482267, svd, 110, (55,), 1059257, 0.0001
1.252745304633569, ids, 120, (60,), 1059257, 0.0001
1.066900680374998, lle, 90, (45, 22, 11), 1059257, 0.0001
0.9939566903195964, pca, 90, (45, 22), 1059257, 0.0001
0.9933707402911962, svd, 90, (45, 22), 1059257, 0.0001
1.0962007310618305, iterated_svd, 90, (45, 22), 1059257, 0.0001
1.0703462560777435, lle, 120, (60,), 1059257, 0.0001
1.0978569275319365, iterated_svd, 80, (40, 20, 10), 1059257, 0.0001
0.9933398070759557, nmf, 90, (45,), 1059257, 0.0001
0.9998272405391759, nmf, 100, (50, 25, 12), 1059257, 0.0001
1.1165554164771194, ids, 120, (60, 30, 15), 1059257, 0.0001
1.0975799938214292, iterated_svd, 100, (50,), 1059257, 0.0001
0.9948983959204715, pca, 100, (50, 25), 1059257, 0.0001
1.1003830677653552, iterated_svd, 90, (45, 22, 11), 1059257, 0.0001
1.11683369039327, ids, 120, (60, 30), 1059257, 0.0001
0.9934646381966465, pca, 100, (50,), 1059257, 0.0001
1.1269763796834276, iterated_svd, 100, (50, 25), 1059257, 0.0001
0.9932638095796542, svd, 120, (60,), 1059257, 0.0001
